ParentKey	LineNum	ItemCode	ItemDescription	Quantity	Price	WarehouseCode	AccountCode	LineTotal
DocNum	LineNum	ItemCode	Dscription	Quantity	Price	WhsCode	AcctCode	LineTotal
2	108	SPA-551WH	CAJA PASIVA 5 120W P/EXTERIOR T/TORRE BLANCO	11	15.98	201	_SYS00000005053	175.78
2	109	SPA-551BK	CAJA PASIVA 5 120W P/EXTERIOR T/TORRE NEGRO	11	15.98	201	_SYS00000005053	175.78
2	110	SPA-565WH	CAJA PASIVA 6.5 150W P/EXTERIOR BLANCO	21	16.76	201	_SYS00000005053	351.96
2	111	SPA-565BK	CAJA PASIVA 6.5 150W P/EXTERIOR NEGRO	17	16.50	201	_SYS00000005053	280.50
2	112	SPA-651WH	CAJA PASIVA 6.5 150W P/EXTERIOR T/TORRE BLANCO	15	20.19	201	_SYS00000005053	302.85
2	113	AX-SP804	CAJA PASIVA 8 15000W 8 OHM PLASTICA	15	26.21	201	_SYS00000005053	393.15
2	114	TAP-20T	CAJA PASIVA AIRPORT 3 20W 70V NEGRO X 2P - NETO	2	34.31	201	_SYS00000005053	68.62
2	115	TAP-40T	CAJA PASIVA AIRPORT-SERIE 4 40W 70V NEGRO X 2P	2	60.25	201	_SYS00000005053	120.50
2	116	DPE 215	CAJA PASIVA DOBLE DPE-SERIE 15 2800W - Oferta	2	310.11	201	_SYS00000005053	620.22
2	117	KS215	CAJA PASIVA DOBLE KS-SERIE 15 4000W - Oferta	1	289.39	201	_SYS00000005053	289.39
2	118	SOHO V8 BK	CAJA PASIVA SOHO-SERIE 8X3.5 960W C/PEDESTAL (0.79CM) - NETO	1	73.37	201	_SYS00000005053	73.37
2	119	WSB500BPACK-A-U	COMBO BAJO ELECT. 4 CUERDAS SONAMASTER 500 COLOR BLACK	1	171.21	201	_SYS00000005053	171.21
2	120	WSB500TSPACK-A-U	COMBO BAJO ELECT. 4 CUERDAS SONAMASTER 500 COLOR TS	1	171.21	201	_SYS00000005053	171.21
2	121	WS300BPACK-A-U	COMBO GUITARRA ELECTRICA SONAMASTER 300 COLOR BLUE	2	132.63	201	_SYS00000005053	265.26
2	122	WS300TSPACK-A-U	COMBO GUITARRA ELECTRICA SONAMASTER 300 COLOR TS	2	132.64	201	_SYS00000005053	265.28
2	123	PV6	CONSOLA PASIVA 6 CANALES (2CH XLR - 2CH ST) - Oferta	3	87.41	201	_SYS00000005053	262.23
2	124	PV6BT	CONSOLA PASIVA 6 CANALES C/BLUETOOTH - Oferta	1	104.91	201	_SYS00000005053	104.91
2	125	MXi.10	CONSOLA PASIVA MXi-SERIE 10 CANALES - NETO	4	54.07	201	_SYS00000005053	216.28
2	126	MXi.12	CONSOLA PASIVA MXi-SERIE 12 CANALES - NETO	5	68.08	201	_SYS00000005053	340.40
2	127	MXi.12FX	CONSOLA PASIVA MXi-SERIE 12 CANALES FX C/DSP - NETO	1	88.74	201	_SYS00000005053	88.74
2	128	MXi.1222CFX	CONSOLA PASIVA MXi-SERIE 12 CANALES FX/USB - NETO	3	221.69	201	_SYS00000005053	665.07
2	129	MXi.12USB	CONSOLA PASIVA MXi-SERIE 12 CANALES USB - NETO	4	83.95	201	_SYS00000005053	335.80
2	130	MXi.1422CFX	CONSOLA PASIVA MXi-SERIE 14 CANALES FX/USB - NETO	2	255.11	201	_SYS00000005053	510.22
2	131	MXi.1622CFX	CONSOLA PASIVA MXi-SERIE 16 CANALES FX/USB - NETO	2	272.99	201	_SYS00000005053	545.98
2	132	MXi.5	CONSOLA PASIVA MXi-SERIE 5 CANALES - NETO	3	33.01	201	_SYS00000005053	99.03
2	133	MXi.6FX	CONSOLA PASIVA MXi-SERIE 6 CANALES FX C/DSP - NETO	2	68.75	201	_SYS00000005053	137.50
2	134	MX1222FX	CONSOLA PASIVA MX-SERIE 12 CANALES FX - NETO	2	166.21	201	_SYS00000005053	332.42
2	135	MX1422FX	CONSOLA PASIVA MX-SERIE 14 CANALES FX - NETO	2	207.97	201	_SYS00000005053	415.94
2	136	MXi.3BT	CONSOLA PASIVA MX-SERIE 3 CANALES C/BLUET. - NETO	3	38.01	201	_SYS00000005053	114.03
2	137	PV10BT	CONSOLA PASIVA PV 10 CANALES C/BLUET/MP3 - Oferta	3	197.71	201	_SYS00000005053	593.13
2	138	M-28	DRIVER ESPAÑOL 8 OHM-40W	2	27.73	201	_SYS00000005053	55.46
2	139	TEQ-231SW	ECUALIZADOR PROF. DOBLE 31 BANDAS SALIDA P/BAJO - NETO	2	123.71	201	_SYS00000005053	247.42
2	140	AD810 BKS	GUITARRA ACUSTICA STANDARD NEGRO SATINADO	5	64.17	201	_SYS00000005053	320.85
2	141	AF510 BKS	GUITARRA ACUSTICA STANDARD NEGRO SATINADO	3	63.55	201	_SYS00000005053	190.65
2	142	AD810 OP	GUITARRA ACUSTICA STANDARD OPEN PORE	5	59.34	201	_SYS00000005053	296.70
2	143	AF510 OP	GUITARRA ACUSTICA STANDARD OPEN PORE	4	58.42	201	_SYS00000005053	233.68
2	144	AF510M OP	GUITARRA ACUSTICA STANDARD OPEN PORE	2	59.72	201	_SYS00000005053	119.44
2	145	AD810 LH OP	GUITARRA ACUSTICA STANDARD OPEN PORE P/ZURDO	2	71.03	201	_SYS00000005053	142.06
2	146	AP550 VB	GUITARRA ACUSTICA STANDARD VINTAGE BURST - NETO	7	96.96	201	_SYS00000005053	678.72
2	147	AC100 OP	GUITARRA CLASICA OPEN PORE	6	61.10	201	_SYS00000005053	366.60
2	148	CR300 ATB	GUITARRA ELECTRICA CR C/MIC. EMG RETROACTIVE COLOR ATB	3	220.70	201	_SYS00000005053	662.10
2	149	CR200 GT	GUITARRA ELECTRICA CR DORADO TOP	2	187.36	201	_SYS00000005053	374.72
2	150	CR100 BK	GUITARRA ELECTRICA CR NEGRO	3	123.60	201	_SYS00000005053	370.80
2	151	CR50 BK	GUITARRA ELECTRICA CR NEGRO	5	93.21	201	_SYS00000005053	466.05
2	152	CR250 TBK	GUITARRA ELECTRICA CR NEGRO TRANS	1	209.09	201	_SYS00000005053	209.09
2	153	G110 2T	GUITARRA ELECTRICA G DOS TONOS = G110 2TS	2	87.52	201	_SYS00000005053	175.04
2	154	G110 BK	GUITARRA ELECTRICA G NEGRO	3	85.45	201	_SYS00000005053	256.35
2	155	G250 BK	GUITARRA ELECTRICA G NEGRO	3	135.24	201	_SYS00000005053	405.72
2	156	G100 OPW	GUITARRA ELECTRICA G NUEZ OPEN PORE	3	71.53	201	_SYS00000005053	214.59
2	157	G250 TAB	GUITARRA ELECTRICA G TABACO BURST	2	135.02	201	_SYS00000005053	270.04
2	158	G110 CGN	GUITARRA ELECTRICA G VERDE CARIBENO	1	87.23	201	_SYS00000005053	87.23
2	159	KX300 OPCB	GUITARRA ELECTRICA KX C/MIC. EMG RETRO COLOR OPCB	2	190.32	201	_SYS00000005053	380.64
2	160	KX300 OPRB	GUITARRA ELECTRICA KX C/MIC. EMG RETRO COLOR OPRB	1	189.85	201	_SYS00000005053	189.85
2	161	PXS29FRTBBM-D-U	GUITARRA ELECTRICA PARALLAXE C/MIC. DUNCAN COLOR FTB - NETO	1	674.68	201	_SYS00000005053	674.68
2	162	WS300B-A-U	GUITARRA ELECTRICA SONAMASTER 300 C/MIC. 3-SINGLE COLOR BLUE	1	73.25	201	_SYS00000005053	73.25
2	163	S3XTS-A-U	GUITARRA ELECTRICA SONAMASTER C/MIC. 2-SINGLE 1-HAMB. COLOR TS	2	123.78	201	_SYS00000005053	247.56
2	164	SUNSET NYELECTRIC NA	GUITARRA ELECTRICA SUNSET NYLON NATURAL - NETO	3	222.76	201	_SYS00000005053	668.28
