ParentKey	LineNum	BPCode
ItemCode	LineNum	VendorCode
REP-ST181.9	0	PE00000005
REP-SR191.3	0	PE00000005
REP-ST191.3	0	PE00000005
REP-SR203.8	0	PE00000005
REP-ST203.8	0	PE00000005
REP-SR215.2	0	PE00000005
REP-ST215.2	0	PE00000005
REP-SR224.9	0	PE00000005
REP-ST224.9	0	PE00000005
REP-SR228.6	0	PE00000005
REP-ST228.6	0	PE00000005
REP-SR228.9	0	PE00000005
REP-ST228.9	0	PE00000005
REP-STX232.6	0	PE00000005
REP-SR233.7	0	PE00000005
REP-ST233.7	0	PE00000005
REP-SR234.3	0	PE00000005
REP-ST234.3	0	PE00000005
REP-TX234.3	0	PE00000005
REP-SR234.8	0	PE00000005
REP-ST234.8	0	PE00000005
REP-SR237.5	0	PE00000005
