ParentKey	LineNum	SourcePath	FileName	FileExtension	Override	FreeText
AbsoluteEntry	LineNum	srcPath	FileName	FileExt	Override	FreeText
858	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-078	jpg	Y	TJ-078
858	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-078(2)	jpg	Y	TJ-078
859	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-502USB	jpg	Y	AD-503 
859	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-503(AD-502USB)(2)	jpg	Y	AD-503 
860	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC2011(1)	jpg	Y	HV-UC2011
860	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC2011(2)	jpg	Y	HV-UC2011
862	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-912	jpg	Y	AD-912 OF
863	0	\\192.168.10.27\Documentos_SAP\Anexos	LLCS2100N	jpg	Y	LLCS2100N
863	1	\\192.168.10.27\Documentos_SAP\Anexos	LLCS2100N(2)	jpg	Y	LLCS2100N
864	0	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC03	jpg	Y	ADC-IPUC03
864	1	\\192.168.10.27\Documentos_SAP\Anexos	ADC-IPUC03(2)	jpg	Y	ADC-IPUC03
865	0	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC207	jpg	Y	HV-UC207
865	1	\\192.168.10.27\Documentos_SAP\Anexos	HV-UC207(2)	jpg	Y	HV-UC207
866	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-1202U	jpg	Y	AD-1202U OF
867	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-2515U(1)	jpg	Y	AD-2515U
867	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-2515U(2)	jpg	Y	AD-2515U
868	0	\\192.168.10.27\Documentos_SAP\Anexos	KBZ02468	jpg	Y	KBZ02468
869	0	\\192.168.10.27\Documentos_SAP\Anexos	AD-122DTV	jpg	Y	AD-122DTV
869	1	\\192.168.10.27\Documentos_SAP\Anexos	AD-122DTV(2)	jpg	Y	AD-122DTV
870	0	\\192.168.10.27\Documentos_SAP\Anexos	KBZ02326 - (11-20)	jpg	Y	KBZ02326
870	1	\\192.168.10.27\Documentos_SAP\Anexos	KBZ02326(2) - (11-20)	jpg	Y	KBZ02326
870	2	\\192.168.10.27\Documentos_SAP\Anexos	KBZ02326(1-3) - (11-20)	jpg	Y	KBZ02326
876	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1033 - (03-19)	jpg	Y	TJ-1033
876	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1033(2) - (03-19)	jpg	Y	TJ-1033
876	2	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1033(1-3) - (03-19)	jpg	Y	TJ-1033
876	3	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1033(5) - (03-19)	jpg	Y	TJ-1033
877	0	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1143 - (03-19)	jpg	Y	TJ-1143
877	1	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1143(2) - (03-19)	jpg	Y	TJ-1143
877	2	\\192.168.10.27\Documentos_SAP\Anexos	TJ-1143(1-3) - (03-19)	jpg	Y	TJ-1143
