ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
ItemCode	U_Cant_X_Empaque	U_Cant_x_carton	
2SC3280 CLD-RMV	1	1	
2SC3281	1	1	
2SC3281 CLD	1	1	
2SC3300	1	1	
2SC3311	1	1	
2SC3320 CLD	1	1	
2SC3400	1	1	
2SC3402	1	1	
2SC3409	1	1	
2SC3419	1	1	
2SC3420 TOSH	1	1	
2SC3451	1	1	
2SC3457	1	1	
2SC3502	1	1	
2SC3623	1	1	
2SC3666	1	1	
2SC3679	1	1	
2SC3795	1	1	
2SC3807 CLD	1	1	
2SC3852 CLD	1	1	
2SC3856 CLD	1	1	
2SC3858 CLD	1	1	
2SC3895	1	1	
2SC3940A CLA	1	1	
2SC3953	1	1	
2SC4056 CLD	1	1	
2SC4064 CLD	1	1	
2SC4064 MET CLA	1	1	
2SC4064 PLA CLA	1	1	
2SC4108	1	1	
2SC4123	1	1	
2SC4130	1	1	
2SC4130 CLD	1	1	
2SC4137	1	1	
2SC4158	1	1	
2SC4159 CLA	1	1	
2SC4159 CLD	1	1	
2SC4204	1	1	
2SC4237 CLD	1	1	
2SC4242	1	1	
2SC4273	1	1	
2SC4370A CLD	1	1	
2SC4381	1	1	
2SC4382 CLD	1	1	
2SC4418 CLD	1	1	
2SC4419	1	1	
2SC4423 CLD	1	1	
2SC4424 CLD	1	1	
2SC4426	1	1	
2SC4429L CLD	1	1	
2SC4458N CLD	1	1	
2SC4460M CLD	1	50	
2SC4467	1	1	
2SC4468	1	1	
2SC4507	1	1	
2SC4508	1	1	
2SC4533 CLD	1	1	
2SC4636 CLD	1	1	
2SC4663P CLD	1	1	
2SC4664 MT	1	1	
2SC4664 N2	1	1	
2SC4664 P CLD	1	1	
2SC4664N CLD	1	1	
2SC4742	1	1	
2SC4742 CLD	1	1	
2SC4762	1	1	
2SC4762 CLD	1	1	
2SC4769	1	1	
2SC4793 CLD	1	50	
2SC4833 N2	1	1	
2SC4833M CLD	1	1	
2SC4834 N CLD	1	1	
2SC4834M CLD	1	1	
2SC4834P CLD	1	50	
2SC4883	1	1	
2SC4927	1	1	
2SC4927 CLD	1	100	
2SC5021 CLA	1	1	
