ItemCode	PurchasePackagingUnit	SalesUnit
2SC9015 CLD	UNIDAD	UNIDAD
2SC9018	UNIDAD	UNIDAD
2SC930	UNIDAD	UNIDAD
2SC945 CLD	UNIDAD	UNIDAD
2SD1012 CLD	UNIDAD	UNIDAD
2SD1020	UNIDAD	UNIDAD
2SD1046 CLD	UNIDAD	UNIDAD
2SD1047 CLD	UNIDAD	UNIDAD
2SD1048	UNIDAD	UNIDAD
2SD1061	UNIDAD	UNIDAD
2SD1063	UNIDAD	UNIDAD
2SD1064	UNIDAD	UNIDAD
2SD1092 CLD	UNIDAD	UNIDAD
2SD1197	UNIDAD	UNIDAD
2SD1263	UNIDAD	UNIDAD
2SD1264	UNIDAD	UNIDAD
2SD1265	UNIDAD	UNIDAD
2SD1266	UNIDAD	UNIDAD
2SD1293	UNIDAD	UNIDAD
2SD1294 CLD	UNIDAD	UNIDAD
2SD1348	UNIDAD	UNIDAD
2SD1395	UNIDAD	UNIDAD
2SD1396 CLD	UNIDAD	UNIDAD
2SD1398	UNIDAD	UNIDAD
2SD1402 CLD	UNIDAD	UNIDAD
2SD1402 CLD-RMV	UNIDAD	UNIDAD
2SD1402 SEMI-CLD	UNIDAD	UNIDAD
2SD1403 CLD	UNIDAD	UNIDAD
2SD1406	UNIDAD	UNIDAD
2SD1409	UNIDAD	UNIDAD
2SD1426 CLD	UNIDAD	UNIDAD
2SD1427	UNIDAD	UNIDAD
2SD1428 TOSH	UNIDAD	UNIDAD
2SD1431	UNIDAD	UNIDAD
2SD1439	UNIDAD	UNIDAD
2SD1439 CLD	UNIDAD	UNIDAD
2SD1453 CLD	UNIDAD	UNIDAD
2SD1457	UNIDAD	UNIDAD
2SD1497 CLD	UNIDAD	UNIDAD
2SD1554 CLD	UNIDAD	UNIDAD
2SD1555 CLD	UNIDAD	UNIDAD
2SD1556 CLD	UNIDAD	UNIDAD
2SD1557 CLD	UNIDAD	UNIDAD
2SD1557 NEC	UNIDAD	UNIDAD
2SD156	UNIDAD	UNIDAD
2SD1577	UNIDAD	UNIDAD
2SD1585 CLD	UNIDAD	UNIDAD
2SD1616	UNIDAD	UNIDAD
2SD1649	UNIDAD	UNIDAD
2SD1650	UNIDAD	UNIDAD
2SD1651	UNIDAD	UNIDAD
2SD1651 CLD	UNIDAD	UNIDAD
2SD1710 CLD	UNIDAD	UNIDAD
2SD1711	UNIDAD	UNIDAD
2SD1761PI	UNIDAD	UNIDAD
2SD1778	UNIDAD	UNIDAD
2SD1789	UNIDAD	UNIDAD
2SD1825 CLD	UNIDAD	UNIDAD
2SD1830	UNIDAD	UNIDAD
2SD1843	UNIDAD	UNIDAD
2SD1847	UNIDAD	UNIDAD
2SD1858	UNIDAD	UNIDAD
2SD1876 CLD	UNIDAD	UNIDAD
2SD1877	UNIDAD	UNIDAD
2SD1877 CLD	UNIDAD	UNIDAD
2SD1878	UNIDAD	UNIDAD
2SD1878 CLD	UNIDAD	UNIDAD
2SD1879 CLD	UNIDAD	UNIDAD
2SD1880 CLD	UNIDAD	UNIDAD
2SD1881	UNIDAD	UNIDAD
2SD1881 CLD	UNIDAD	UNIDAD
2SD1886C CLD	UNIDAD	UNIDAD
2SD1887	UNIDAD	UNIDAD
2SD1887 CLD	UNIDAD	UNIDAD
2SD1889	UNIDAD	UNIDAD
2SD1910	UNIDAD	UNIDAD
2SD1911	UNIDAD	UNIDAD
2SD1944	UNIDAD	UNIDAD
2SD1959	UNIDAD	UNIDAD
2SD1994	UNIDAD	UNIDAD
2SD200	UNIDAD	UNIDAD
2SD2012 CLD	UNIDAD	UNIDAD
2SD2058 CLD	UNIDAD	UNIDAD
2SD2059 CLD	UNIDAD	UNIDAD
2SD2060	UNIDAD	UNIDAD
2SD2061 CLD	UNIDAD	UNIDAD
2SD2089	UNIDAD	UNIDAD
2SD2095	UNIDAD	UNIDAD
2SD2102 CLD	UNIDAD	UNIDAD
2SD2125	UNIDAD	UNIDAD
2SD2222	UNIDAD	UNIDAD
2SD2390	UNIDAD	UNIDAD
2SD2394 CLD	UNIDAD	UNIDAD
2SD2396 CLD	UNIDAD	UNIDAD
2SD2438	UNIDAD	UNIDAD
2SD2439 CLD	UNIDAD	UNIDAD
2SD2493 CLD	UNIDAD	UNIDAD
2SD2494 CLD	UNIDAD	UNIDAD
2SD2495 CLD SANK	UNIDAD	UNIDAD
2SD2498 CLD	UNIDAD	UNIDAD
2SD2499 CLD	UNIDAD	UNIDAD
2SD2525	UNIDAD	UNIDAD
2SD2539	UNIDAD	UNIDAD
2SD2539 CLD	UNIDAD	UNIDAD
2SD2553 CLD	UNIDAD	UNIDAD
2SD2560	UNIDAD	UNIDAD
2SD2578 CLD	UNIDAD	UNIDAD
2SD2580 CLD	UNIDAD	UNIDAD
2SD2581 CLD	UNIDAD	UNIDAD
2SD2586 CLD	UNIDAD	UNIDAD
2SD2599	UNIDAD	UNIDAD
2SD261	UNIDAD	UNIDAD
2SD2624 CLD	UNIDAD	UNIDAD
2SD2627	UNIDAD	UNIDAD
2SD2627 CLD	UNIDAD	UNIDAD
2SD2642 CLD	UNIDAD	UNIDAD
2SD2645 CLD	UNIDAD	UNIDAD
2SD2689 CLD	UNIDAD	UNIDAD
2SD288	UNIDAD	UNIDAD
2SD291	UNIDAD	UNIDAD
2SD313 CLD	UNIDAD	UNIDAD
2SD362 CLD	UNIDAD	UNIDAD
2SD401A CLD	UNIDAD	UNIDAD
2SD424 TOSH	UNIDAD	UNIDAD
2SD438	UNIDAD	UNIDAD
2SD468	UNIDAD	UNIDAD
2SD470 MATS	UNIDAD	UNIDAD
2SD471	UNIDAD	UNIDAD
2SD473	UNIDAD	UNIDAD
2SD5024 CLD	UNIDAD	UNIDAD
2SD5032 CLD	UNIDAD	UNIDAD
2SD5036 CLD	UNIDAD	UNIDAD
2SD5071	UNIDAD	UNIDAD
2SD5071 CLD	UNIDAD	UNIDAD
2SD5072	UNIDAD	UNIDAD
2SD5072 CLD	UNIDAD	UNIDAD
2SD525 TOSH	UNIDAD	UNIDAD
2SD533	UNIDAD	UNIDAD
2SD560	UNIDAD	UNIDAD
2SD5702 CLD	UNIDAD	UNIDAD
2SD5703 CLD	UNIDAD	UNIDAD
2SD600	UNIDAD	UNIDAD
2SD612	UNIDAD	UNIDAD
2SD667AC CLD	UNIDAD	UNIDAD
2SD669AC CLD	UNIDAD	UNIDAD
2SD717	UNIDAD	UNIDAD
2SD718	UNIDAD	UNIDAD
2SD718 CLD	UNIDAD	UNIDAD
2SD718 CLD TOSH	UNIDAD	UNIDAD
2SD794	UNIDAD	UNIDAD
2SD823	UNIDAD	UNIDAD
2SD870	UNIDAD	UNIDAD
2SD879	UNIDAD	UNIDAD
2SD880 CLD	UNIDAD	UNIDAD
2SD882 CLD	UNIDAD	UNIDAD
2SD946	UNIDAD	UNIDAD
2SD965	UNIDAD	UNIDAD
2SD970	UNIDAD	UNIDAD
2SK1118	UNIDAD	UNIDAD
2SK1445	UNIDAD	UNIDAD
2SK1446	UNIDAD	UNIDAD
2SK1507 CLD	UNIDAD	UNIDAD
2SK1537	UNIDAD	UNIDAD
2SK1611	UNIDAD	UNIDAD
2SK2039	UNIDAD	UNIDAD
2SK2125	UNIDAD	UNIDAD
2SK2129	UNIDAD	UNIDAD
2SK2148 CLD	UNIDAD	UNIDAD
2SK2434	UNIDAD	UNIDAD
2SK2545	UNIDAD	UNIDAD
2SK2564 CLD	UNIDAD	UNIDAD
2SK2624 CLD	UNIDAD	UNIDAD
2SK2640	UNIDAD	UNIDAD
2SK2640 CLD	UNIDAD	UNIDAD
2SK2642 CLD	UNIDAD	UNIDAD
2SK2645 CLD	UNIDAD	UNIDAD
2SK2662 CLD	UNIDAD	UNIDAD
2Sk2698 CLD	UNIDAD	UNIDAD
2SK2723 CLD	UNIDAD	UNIDAD
2SK2837 CLD	UNIDAD	UNIDAD
2SK2845 CLD	UNIDAD	UNIDAD
2SK2872	UNIDAD	UNIDAD
2SK2876 CLD	UNIDAD	UNIDAD
2SK2937 CLD	UNIDAD	UNIDAD
2SK2961	UNIDAD	UNIDAD
2SK2961 CLD	UNIDAD	UNIDAD
2SK2996 CLD	UNIDAD	UNIDAD
2SK30 CLD	UNIDAD	UNIDAD
2SK304	UNIDAD	UNIDAD
2SK3053 CLD	UNIDAD	UNIDAD
2SK3115 CLD	UNIDAD	UNIDAD
2SK3116 CLD	UNIDAD	UNIDAD
2SK33	UNIDAD	UNIDAD
2SK3451 CLD	UNIDAD	UNIDAD
2SK3563 CLD	UNIDAD	UNIDAD
2SK3568 CLD	UNIDAD	UNIDAD
2SK3569 CLD	UNIDAD	UNIDAD
2SK790	UNIDAD	UNIDAD
2SK794	UNIDAD	UNIDAD
2SK796	UNIDAD	UNIDAD
32N50C	UNIDAD	UNIDAD
3B0565 CLD	UNIDAD	UNIDAD
3BR4765J CLD	UNIDAD	UNIDAD
3S0680RF CLD	UNIDAD	UNIDAD
3S0765RF CLD	UNIDAD	UNIDAD
3S1265R CLD	UNIDAD	UNIDAD
5L0365RN CLD	UNIDAD	UNIDAD
5L0380R CLD	UNIDAD	UNIDAD
5M02659RN CLD	UNIDAD	UNIDAD
5Q0765RT CLD	UNIDAD	UNIDAD
5Q12656 CLD	UNIDAD	UNIDAD
5Q1265RF CLD	UNIDAD	UNIDAD
74LS00	UNIDAD	UNIDAD
74LS00P CLD	UNIDAD	UNIDAD
74LS02 CLD	UNIDAD	UNIDAD
74LS04P CLD	UNIDAD	UNIDAD
74LS05	UNIDAD	UNIDAD
74LS06	UNIDAD	UNIDAD
74LS08 CLD	UNIDAD	UNIDAD
74LS09 CLD	UNIDAD	UNIDAD
74LS10 CLD	UNIDAD	UNIDAD
74LS107	UNIDAD	UNIDAD
74LS11 CLD	UNIDAD	UNIDAD
74LS112 CLD	UNIDAD	UNIDAD
74LS113	UNIDAD	UNIDAD
74LS12 CLD	UNIDAD	UNIDAD
74LS123	UNIDAD	UNIDAD
74LS132	UNIDAD	UNIDAD
74LS132 CLD	UNIDAD	UNIDAD
74LS138 CLD	UNIDAD	UNIDAD
74LS139 CLD	UNIDAD	UNIDAD
74LS14 CLD	UNIDAD	UNIDAD
74LS147 CLD	UNIDAD	UNIDAD
74LS148 CLD	UNIDAD	UNIDAD
74LS151 CLD	UNIDAD	UNIDAD
74LS153 CLD	UNIDAD	UNIDAD
74LS154	UNIDAD	UNIDAD
74LS154 CLD	UNIDAD	UNIDAD
74LS155 CLD	UNIDAD	UNIDAD
74LS156 CLD	UNIDAD	UNIDAD
74LS157 CLD	UNIDAD	UNIDAD
74LS158N CLD	UNIDAD	UNIDAD
74LS161 CLD	UNIDAD	UNIDAD
74LS163 CLD	UNIDAD	UNIDAD
74LS164 CLD	UNIDAD	UNIDAD
74LS165 CLD	UNIDAD	UNIDAD
74LS173 CLD	UNIDAD	UNIDAD
74LS192 CLD	UNIDAD	UNIDAD
74LS194 CLD	UNIDAD	UNIDAD
74LS20 CLD	UNIDAD	UNIDAD
74LS21	UNIDAD	UNIDAD
74LS21 CLD	UNIDAD	UNIDAD
