ItemCode	InventoryWeight1	InventoryWeightUnit1	SalesUnitWeight	SalesWeightUnit	PurchaseUnitWeight	PurchaseWeightUnit
ItemCode	InventoryWeight1	InventoryWeightUnit1	SWeight1	SWght1Unit	BWeight1	BWght1Unit
2SC5446 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5516 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5622	0.02	KG	0.02	KG	0.02	KG
2SC5707 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5801	0.02	KG	0.02	KG	0.02	KG
2SC5803	0.02	KG	0.02	KG	0.02	KG
2SC5855	0.02	KG	0.02	KG	0.02	KG
2SC5855 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5858 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5885 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5885	0.02	KG	0.02	KG	0.02	KG
2SC5886 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5902 CLD	0.02	KG	0.02	KG	0.02	KG
2SC5936 CLD	0.02	KG	0.02	KG	0.02	KG
2SC6022 CLD	0.02	KG	0.02	KG	0.02	KG
2SC6090 CLD	0.02	KG	0.02	KG	0.02	KG
2SC6093 CLD	0.02	KG	0.02	KG	0.02	KG
2SC6144 CLD	0.02	KG	0.02	KG	0.02	KG
2SC681	0.02	KG	0.02	KG	0.02	KG
2SC783	0.02	KG	0.02	KG	0.02	KG
2SC828	0.02	KG	0.02	KG	0.02	KG
2SC828 CLD	0.02	KG	0.02	KG	0.02	KG
2SC829 CLD	0.02	KG	0.02	KG	0.02	KG
2SC9012H	0.02	KG	0.02	KG	0.02	KG
2SC9015 CLD	0.02	KG	0.02	KG	0.02	KG
2SC9018	0.02	KG	0.02	KG	0.02	KG
2SC930	0.02	KG	0.02	KG	0.02	KG
2SC945 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1012 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1020	0.02	KG	0.02	KG	0.02	KG
2SD1046 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1047 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1048	0.02	KG	0.02	KG	0.02	KG
2SD1061	0.02	KG	0.02	KG	0.02	KG
2SD1063	0.02	KG	0.02	KG	0.02	KG
2SD1064	0.02	KG	0.02	KG	0.02	KG
2SD1092 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1197	0.02	KG	0.02	KG	0.02	KG
2SD1263	0.02	KG	0.02	KG	0.02	KG
2SD1264	0.02	KG	0.02	KG	0.02	KG
2SD1265	0.02	KG	0.02	KG	0.02	KG
2SD1266	0.02	KG	0.02	KG	0.02	KG
2SD1293	0.02	KG	0.02	KG	0.02	KG
2SD1294 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1348	0.02	KG	0.02	KG	0.02	KG
2SD1395	0.02	KG	0.02	KG	0.02	KG
2SD1396 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1398	0.02	KG	0.02	KG	0.02	KG
2SD1402 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1402 CLD-RMV	0.02	KG	0.02	KG	0.02	KG
2SD1402 SEMI-CLD	0.02	KG	0.02	KG	0.02	KG
2SD1403 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1406	0.02	KG	0.02	KG	0.02	KG
2SD1409	0.02	KG	0.02	KG	0.02	KG
2SD1426 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1427	0.02	KG	0.02	KG	0.02	KG
2SD1428 TOSH	0.02	KG	0.02	KG	0.02	KG
2SD1431	0.02	KG	0.02	KG	0.02	KG
2SD1439	0.02	KG	0.02	KG	0.02	KG
2SD1439 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1453 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1457	0.02	KG	0.02	KG	0.02	KG
2SD1497 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1554 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1555 CLD	0.02	KG	0.02	KG	0.02	KG
2SD1556 CLD	0.02	KG	0.02	KG	0.02	KG
